IP:PORT, LOSS, DELAY
188.114.99.121:1701,0.00%,276 ms
188.114.98.213:1843,0.00%,276 ms
162.159.195.7:500,0.00%,276 ms
162.159.195.41:8854,0.00%,276 ms
162.159.192.145:8742,0.00%,276 ms
188.114.99.181:7156,0.00%,276 ms
188.114.98.245:891,0.00%,276 ms
188.114.98.220:3476,0.00%,276 ms
188.114.97.221:955,0.00%,276 ms
188.114.96.61:1387,0.00%,276 ms
188.114.97.22:1014,0.00%,276 ms
162.159.192.159:8742,0.00%,276 ms
188.114.97.114:903,0.00%,276 ms
188.114.98.99:854,0.00%,276 ms
188.114.97.76:1014,0.00%,276 ms
188.114.97.195:908,0.00%,276 ms
188.114.99.88:4198,0.00%,276 ms
188.114.98.249:894,0.00%,276 ms
188.114.97.219:4177,0.00%,276 ms
188.114.97.43:5956,0.00%,276 ms
162.159.192.156:4233,0.00%,276 ms
162.159.195.232:854,0.00%,276 ms
188.114.98.194:3476,0.00%,277 ms
188.114.99.248:7559,0.00%,277 ms
162.159.192.61:1074,0.00%,277 ms
188.114.99.54:864,0.00%,277 ms
188.114.96.166:955,0.00%,277 ms
188.114.99.18:7156,0.00%,277 ms
188.114.97.138:894,0.00%,277 ms
162.159.195.136:894,0.00%,277 ms
188.114.99.25:3138,0.00%,277 ms
162.159.195.1:3854,0.00%,277 ms
188.114.98.12:955,0.00%,277 ms
162.159.192.212:500,0.00%,277 ms
188.114.98.26:7559,0.00%,277 ms
188.114.99.71:7156,0.00%,277 ms
162.159.195.58:1387,0.00%,277 ms
162.159.192.191:934,0.00%,277 ms
188.114.98.204:1843,0.00%,277 ms
188.114.98.103:934,0.00%,277 ms
188.114.96.31:8319,0.00%,277 ms
188.114.96.234:7103,0.00%,277 ms
188.114.98.207:1843,0.00%,277 ms
188.114.99.64:7156,0.00%,277 ms
188.114.98.56:859,0.00%,277 ms
188.114.98.6:934,0.00%,277 ms
188.114.98.8:934,0.00%,277 ms
188.114.98.74:946,0.00%,277 ms
188.114.98.191:3476,0.00%,277 ms
188.114.98.202:3476,0.00%,277 ms
188.114.97.61:7281,0.00%,277 ms
188.114.97.219:955,0.00%,277 ms
188.114.99.191:7559,0.00%,277 ms
188.114.98.19:955,0.00%,277 ms
188.114.98.248:934,0.00%,278 ms
